op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,99.345,0.003,99.338,99.351,99.344,10.423
1,DEPTHWISE_CONV_2D,3.661,0.004,3.655,3.668,3.661,0.384
2,CONV_2D,136.639,8.593,134.670,173.920,134.676,14.336
3,DEPTHWISE_CONV_2D,3.666,0.004,3.660,3.675,3.667,0.385
4,CONV_2D,135.226,0.014,135.201,135.242,135.234,14.188
5,DEPTHWISE_CONV_2D,3.678,0.005,3.671,3.688,3.680,0.386
6,CONV_2D,136.605,8.592,134.639,173.884,134.644,14.332
7,DEPTHWISE_CONV_2D,3.668,0.004,3.662,3.675,3.669,0.385
8,CONV_2D,135.181,0.010,135.157,135.190,135.184,14.183
9,DEPTHWISE_CONV_2D,3.671,0.005,3.664,3.681,3.671,0.385
10,CONV_2D,136.636,8.615,134.659,174.411,134.670,14.336
11,DEPTHWISE_CONV_2D,3.660,0.004,3.655,3.667,3.661,0.384
12,CONV_2D,136.761,7.758,135.161,174.959,135.190,14.349
13,MEAN,14.573,3.920,14.172,53.386,14.180,1.529
14,FULLY_CONNECTED,0.152,0.001,0.150,0.158,0.152,0.016
