op_index,op_tag,mean_ms,std_ms,min_ms,max_ms,median_ms,pct_time
0,CONV_2D,80.270,5.517,79.476,118.695,79.487,12.463
1,DEPTHWISE_CONV_2D,2.933,0.004,2.928,2.941,2.934,0.455
2,CONV_2D,88.790,3.921,88.389,127.612,88.400,13.786
3,DEPTHWISE_CONV_2D,2.937,0.004,2.930,2.948,2.938,0.456
4,CONV_2D,89.585,6.723,88.399,127.624,88.410,13.909
5,DEPTHWISE_CONV_2D,2.940,0.004,2.935,2.949,2.941,0.457
6,CONV_2D,88.773,3.921,88.374,127.593,88.381,13.783
7,DEPTHWISE_CONV_2D,2.945,0.004,2.940,2.953,2.945,0.457
8,CONV_2D,89.167,5.517,88.374,127.596,88.384,13.845
9,DEPTHWISE_CONV_2D,2.937,0.004,2.932,2.945,2.938,0.456
10,CONV_2D,89.179,5.519,88.384,127.623,88.395,13.846
11,DEPTHWISE_CONV_2D,2.938,0.004,2.932,2.948,2.938,0.456
12,CONV_2D,89.196,5.517,88.404,127.622,88.412,13.849
13,MEAN,11.346,0.004,11.340,11.356,11.345,1.762
14,FULLY_CONNECTED,0.121,0.001,0.120,0.126,0.121,0.019
